cq_id,scenario_id,event_type,answer_location,required_fields,positive_fixture,negative_fixture,expected_result,observed_result,error_code,verification_status,notes
CQ-M01,"POS-ENV-CGM,POS-ENV-WEARABLE",M,E,"objects[].resource_class, data_category_code, object_role=target","POS-ENV-CGM,POS-ENV-WEARABLE","NEG-021,NEG-022,NEG-030",CGM-object and wearable-summary fixtures,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-M02,"POS-ENV-CGM,POS-ENV-WEARABLE",M,E,object_ref_token,"POS-ENV-CGM,POS-ENV-WEARABLE","NEG-021,NEG-022,NEG-030",Raw FHIR resource/full object negative control,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-M03,"POS-ENV-CGM,POS-ENV-WEARABLE",M,E,registration event_facts.capture_period or summary_period,"POS-ENV-CGM,POS-ENV-WEARABLE","NEG-021,NEG-022,NEG-030",Start/end order validation,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-M04,"POS-ENV-CGM,POS-ENV-WEARABLE",M,E,"optional payload_binding.commitment, commitment_profile, representation_profile","POS-ENV-CGM,POS-ENV-WEARABLE","NEG-021,NEG-022,NEG-030",Unsupported profile rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-M05,"POS-ENV-CGM,POS-ENV-WEARABLE",M,E/X,commitment metadata plus externally governed payload and nonce,"POS-ENV-CGM,POS-ENV-WEARABLE","NEG-021,NEG-022,NEG-030",Positive and wrong-payload/wrong-nonce checks,payload-commitment verification layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-M06,"POS-ENV-CGM,POS-ENV-WEARABLE",M,E,TE-PHM-Min-1 prohibition,"POS-ENV-CGM,POS-ENV-WEARABLE","NEG-021,NEG-022,NEG-030",Public-nonce leakage fixture rejects,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-X01,POS-ENV-ACCESS,X,E,event_facts.action_code,POS-ENV-ACCESS,"NEG-010,NEG-019,NEG-029",Unsupported action rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-X02,POS-ENV-ACCESS,X,E,at least one objects[] item with object_role=target,POS-ENV-ACCESS,"NEG-010,NEG-019,NEG-029",Missing target rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-X03,POS-ENV-ACCESS,X,E,purpose_code,POS-ENV-ACCESS,"NEG-010,NEG-019,NEG-029",Free-text/unknown purpose rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-X04,POS-ENV-ACCESS,X,E,"outcome.code, optional controlled reason_code",POS-ENV-ACCESS,"NEG-010,NEG-019,NEG-029",Missing outcome rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-X05,POS-ENV-ACCESS,X,E/X,"policy_binding.policy_ref_token, policy_version and optional digest/source token",POS-ENV-ACCESS,"NEG-010,NEG-019,NEG-029",Missing policy binding rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-X06,POS-ENV-ACCESS,X,E/X,consent_binding plus scenario policy,POS-ENV-ACCESS,"NEG-010,NEG-019,NEG-029",Active/revoked scenario tests,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-X07,POS-ENV-ACCESS,X,E/R,canonical core digest and receipt binding,POS-ENV-ACCESS,"NEG-010,NEG-019,NEG-029",Single-field mutation catalogue,canonicalisation and receipt-mutation layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-C01,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION",C,E,"consent_binding.consent_ref_token, consent_version","POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION","NEG-009,NEG-020,NEG-028,NEG-032",Missing token/version rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-C02,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION",C,E,"event_facts.previous_state, new_state","POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION","NEG-009,NEG-020,NEG-028,NEG-032",Same-state/unsupported state rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-C03,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION",C,E,event_facts.effective_at,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION","NEG-009,NEG-020,NEG-028,NEG-032",Time-format and ordering checks,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-C04,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION",C,E,actor,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION","NEG-009,NEG-020,NEG-028,NEG-032",Missing actor rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-C05,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION",C,E/X,policy_binding,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION","NEG-009,NEG-020,NEG-028,NEG-032",Missing policy rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-C06,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION",C,E,semantic transition table,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION","NEG-009,NEG-020,NEG-028,NEG-032",revoked → active same-version rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-C07,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION",C,E,version/token inequality invariant,"POS-ENV-CONSENT-GRANT,POS-ENV-CONSENT-REVOCATION","NEG-009,NEG-020,NEG-028,NEG-032",Same-version reactivation negative case,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-P01,POS-ENV-PROVENANCE,P,E,one or more objects[] with object_role=input,POS-ENV-PROVENANCE,"NEG-012,NEG-013,NEG-033",No-input rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-P02,POS-ENV-PROVENANCE,P,E,one or more objects[] with object_role=output,POS-ENV-PROVENANCE,"NEG-012,NEG-013,NEG-033",No-output rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-P03,POS-ENV-PROVENANCE,P,E,"event_facts.transform_id, transform_version",POS-ENV-PROVENANCE,"NEG-012,NEG-013,NEG-033",Missing method/version rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-P04,POS-ENV-PROVENANCE,P,E,actor and optional on_behalf_of_ref_token,POS-ENV-PROVENANCE,"NEG-012,NEG-013,NEG-033",Missing agent rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-P05,POS-ENV-PROVENANCE,P,E,occurred_at and optional start/end interval,POS-ENV-PROVENANCE,"NEG-012,NEG-013,NEG-033",Invalid interval rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-P06,POS-ENV-PROVENANCE,P,E,object-role and version invariant,POS-ENV-PROVENANCE,"NEG-012,NEG-013,NEG-033",Identical unversioned input/output rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-P07,POS-ENV-PROVENANCE,P,E/R,core digest and receipt,POS-ENV-PROVENANCE,"NEG-012,NEG-013,NEG-033",Provenance mutation cases,canonicalisation and receipt-mutation layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-D01,POS-ENV-DISCLOSURE,D,E,discloser actor and emitter separation,POS-ENV-DISCLOSURE,"NEG-007,NEG-011,NEG-031",Missing actor rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-D02,POS-ENV-DISCLOSURE,D,E,"event_facts.recipient_ref_token, recipient_role_code",POS-ENV-DISCLOSURE,"NEG-007,NEG-011,NEG-031",Name/email recipient leakage rejects,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-D03,POS-ENV-DISCLOSURE,D,E,target object binding and data-category code,POS-ENV-DISCLOSURE,"NEG-007,NEG-011,NEG-031",Missing target rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-D04,POS-ENV-DISCLOSURE,D,E/X,"purpose_code, policy_binding, consent_binding",POS-ENV-DISCLOSURE,"NEG-007,NEG-011,NEG-031",Missing binding rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-D05,POS-ENV-DISCLOSURE,D,E,outcome,POS-ENV-DISCLOSURE,"NEG-007,NEG-011,NEG-031",Outcome mutation test,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-D06,POS-ENV-DISCLOSURE,D,E,TE-PHM-Min-1,POS-ENV-DISCLOSURE,"NEG-007,NEG-011,NEG-031",Nested sample/value leakage controls,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-G01,POS-ENV-AGGREGATION,G,E,input object bindings,POS-ENV-AGGREGATION,"NEG-006,NEG-014,NEG-015,NEG-026",Missing input rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-G02,POS-ENV-AGGREGATION,G,E,"event_facts.window_start, window_end",POS-ENV-AGGREGATION,"NEG-006,NEG-014,NEG-015,NEG-026",Reversed/zero invalid interval cases,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-G03,POS-ENV-AGGREGATION,G,E,bounded non-negative sample_count,POS-ENV-AGGREGATION,"NEG-006,NEG-014,NEG-015,NEG-026",Negative/non-integer/value-array controls,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-G04,POS-ENV-AGGREGATION,G,E,"aggregation_method, aggregation_version",POS-ENV-AGGREGATION,"NEG-006,NEG-014,NEG-015,NEG-026",Missing/unsupported method rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-G05,POS-ENV-AGGREGATION,G,E,output object binding,POS-ENV-AGGREGATION,"NEG-006,NEG-014,NEG-015,NEG-026",Missing output rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-G06,POS-ENV-AGGREGATION,G,E/X,optional payload binding,POS-ENV-AGGREGATION,"NEG-006,NEG-014,NEG-015,NEG-026",Correct/wrong output+nonce tests,payload-commitment verification layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-G07,POS-ENV-AGGREGATION,G,E/R,canonical core digest and receipt,POS-ENV-AGGREGATION,"NEG-006,NEG-014,NEG-015,NEG-026",Aggregation mutation cases,canonicalisation and receipt-mutation layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I01,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,E,privacy_profile,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Missing/unknown profile rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I02,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,E,closed schema plus recursive policy,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Leakage negative-control suite,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I03,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,E,TE-JCS-1,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",RFC vector and reordered-key tests,RFC 8785 vector layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I04,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,E,timestamp profile,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Equivalent-offset tests,canonicalisation-equivalence layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I05,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,E,I-JSON/TE-JCS-1 admission,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Parser and number controls,strict parser and I-JSON admission layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I06,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,E/X,emitter_signature.key_id; key registry,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Signature/unknown-key tests,Emitter key identifier and signature shape verified; cryptographic verification is evaluated in the signature layer,PARTIAL,partially-verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I07,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,R,"core_digest, backend_id, log_id, signed receipt","POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Core/backend/log mutation tests,receipt-binding layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I08,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,R,"signed leaf_index, tree_size; matching proof fields","POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Index/size mutation tests,signed-receipt metadata layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I09,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,R,"inline proof, root and verifier algorithm","POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Missing/extra/reordered sibling tests,inclusion-proof verification layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I10,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,R,inline proof and inclusion_proof_digest in signed projection,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Proof-content substitution test,proof-digest and signature-coverage layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I11,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,R,previous verifier state and checkpoint comparison,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Rollback/same-size-root tests,retained-checkpoint comparison layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-I12,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022",I,R,old/new size/root and consistency path,"POS-ENV-ACCESS-RECEIPT,NEG-003,NEG-005,NEG-006,NEG-007,NEG-021,NEG-022","NEG-003,NEG-005,NEG-006,NEG-007,NEG-017,NEG-018,NEG-021,NEG-022,NEG-025",Valid/non-prefix proof tests,consistency-proof layer,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-F01,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034",F,E or result,failure_event.event_facts.failed_stage or CurationResult.failed_stage,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034","NEG-001,NEG-016,NEG-034",Stage-specific negative controls,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-F02,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034",F,E or result,failure_code / error_code,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034","NEG-001,NEG-016,NEG-034",Exact-code assertions,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-F03,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034",F,E or result,"output_status, digest presence rules","POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034","NEG-001,NEG-016,NEG-034",Contradictory output-state rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-F04,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034",F,E/result,version/profile fields,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034","NEG-001,NEG-016,NEG-034",Missing version rejection,All profile and version fields are represented; executable canonicalisation and receipt profiles are evaluated in their dedicated layers,PARTIAL,partially-verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-F05,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034",F,result/repository,"run manifest, hashes and exact commands","POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034","NEG-001,NEG-016,NEG-034",fresh-extraction audit,clean-archive reproduction audit,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-F06,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034",F,repository,figure provenance and scripts,"POS-ENV-FAILURE,NEG-001,NEG-016,NEG-034","NEG-001,NEG-016,NEG-034",figure-regeneration audit,figure regeneration audit,NOT-EXECUTED-SCHEMA-LAYER,deferred-to-named-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
