item_id,field_or_resource,accountability_question,boundary_class,portable_representation,source_custody_or_exclusion,cryptographic_binding,necessity_rationale,validation_evidence,claim_ceiling
HIE-B16,policy reference,authorisation context,portable and referenced,opaque policy token,complete policy text remains under institutional custody,issuer signature,identifies the rule artefact asserted by the source,schema and authorisation AuditEvent,reference only
HIE-B17,policy version,authorisation context,portable,version 6,policy history and interpretation excluded,issuer signature,prevents ambiguous policy attribution,case manifest; envelope/FHIR parity,asserted version only
HIE-B18,policy digest,authorisation context,portable and committed,SHA-256 policy digest,policy text excluded,issuer signature,allows later byte comparison to a retrieved policy representation,FHIR audit detail; exact signed core,digest does not establish legal correctness
HIE-B19,authorisation decision D-204,authorisation context,portable and referenced,versioned decision object plus AuditEvent detail,decision-engine internals and credentials excluded,issuer signature,separates decision instance from Consent state policy version and outcome,schema required role; case and FHIR semantic checks,recorded decision identifier only
HIE-B20,DiagnosticReport type and version,clinical-object identity,referenced,typed versioned identifier DiagnosticReport/.../_history/2,DiagnosticReport content remains under Hospital A custody,issuer signature over reference and source-bundle commitment,identifies the clinical object without copying it,source-identifier checker; FHIR Validator,reference does not establish clinical correctness
HIE-B21,source clinical Bundle bytes,byte binding,committed,nonce-based SHA-256 commitment,exact clinical Bundle withheld from portable artefacts,payload commitment profile,permits later integrity comparison when candidate bytes and nonce are supplied,unit test and hero-case commitment verification,not encryption or semantic proof
HIE-B22,commitment nonce,byte binding,excluded,test-only private material,never portable or public,no portable binding value,prevents dictionary-style disclosure and preserves commitment opening discipline,package and portable-artifact scans,no confidentiality guarantee
HIE-B23,Observation resources,clinical payload,excluded,none,retained only in synthetic source Bundle,covered indirectly by source-bundle commitment,not needed to answer frozen audit questions,portable Bundle profile; semantic deny-list; negative Bundle,absence only for inspected artefacts
HIE-B24,laboratory values,clinical payload,excluded,none,retained only in synthetic source Bundle,covered indirectly by source-bundle commitment,portable evidence must not become a secondary clinical repository,semantic scan; negative leakage fixture; validator corpus,absence only for inspected artefacts
HIE-B25,DiagnosticReport conclusion,clinical payload,excluded,none,retained under source custody,covered indirectly by source-bundle commitment,not necessary for event accountability,semantic deny-list and manual matrix,no clinical inference claim
HIE-B26,direct patient identity,privacy,excluded,none,not generated in portable case and not copied from source,none,minimises identity exposure while retaining pairwise correlation,minimisation validator; portable scan; synthetic fixtures,no anonymity or re-identification guarantee
HIE-B27,Provenance relation,provenance,portable and referenced,FHIR Provenance linking AuditEvents Binary and source identifier,source clinical resource remains outside portable Bundle,issuer signature binds provenance token; FHIR resources validated,records how evidence artefacts relate to the source and each other,Provenance profile and semantic source-identifier check,declared provenance only
HIE-B28,canonical signed-envelope bytes,issuer evidence,portable,FHIR Binary application/json exact canonical bytes,no alternate FHIR reserialisation treated as signed source,Ed25519 issuer signature and local receipt,allows an independent verifier to process the exact signed representation,base64 exact-byte equality; Binary profile,exact reference bytes only
HIE-B29,issuer key identifier,issuer evidence,portable,synthetic test key identifier,private key excluded,Ed25519 signature message framing,selects the configured public key for verification,signature tests and verification report,test trust configuration only
HIE-B30,issuer signature,issuer evidence,portable,Ed25519 signature,private key excluded,signature over deterministic core digest,detects controlled changes to signed semantic fields,baseline signature tests; C4 mutation expansion pending,not clinical truth legal non-repudiation or identity proofing
HIE-B31,local A2 receipt,backend evidence,portable,project-specific signed receipt,backend private key and mutable state excluded,receipt signature core digest leaf and root bindings,supports bounded inclusion and retained-checkpoint verification,receipt verifier and retained case report,not SCITT RFC 9942 or public transparency
HIE-B32,inclusion proof,backend evidence,portable,leaf index tree size sibling path and root,full backend log excluded,receipt signature and proof digest,allows reconstruction of the declared local root,local A2 verification and negative mutations,local inclusion only
HIE-B33,retained checkpoint,backend evidence,referenced and local,backend/log identity tree size and root,retained by verifier rather than copied from clinical source,consistency proof and verifier policy,permits rollback fork and prefix-extension checks under local retained state,baseline bounded/property tests; C4 mutations pending,no global non-equivocation
HIE-B34,FHIR structured projection,interoperable representation,portable,AuditEvent Consent Provenance Binary DocumentReference and context resources,clinical source resources excluded,exact envelope retained separately in Binary,makes the semantic core inspectable by FHIR tooling,SUSHI IG Publisher and four positive Validator units,bounded exact-corpus validation only
HIE-B35,full portable evidence Bundle,interoperable representation,portable,closed collection Bundle of admitted evidence resource types,Observation and DiagnosticReport not admitted,DocumentReference hash plus exact Binary bytes,packages the minimum cross-organisational evidence set,profile closure; semantic scan; positive and intended-negative Validator results,not a complete operational exchange package
