cq_id,competency_question,answer_location,required_fields_or_invariant,planned_test
CQ-D06,Does the envelope avoid carrying the disclosed monitoring values?,E,TE-PHM-Min-1,Nested sample/value leakage controls
CQ-G01,Which input category or tokenised source set was aggregated?,E,input object bindings,Missing input rejection
CQ-G02,What time window was aggregated?,E,"event_facts.window_start, window_end",Reversed/zero invalid interval cases
CQ-G03,"How many samples contributed, without exposing their values?",E,bounded non-negative sample_count,Negative/non-integer/value-array controls
CQ-G04,Which aggregation method and version were used?,E,"aggregation_method, aggregation_version",Missing/unsupported method rejection
CQ-G05,Which output summary object was produced?,E,output object binding,Missing output rejection
CQ-G06,Can an output commitment be checked later under authorised disclosure?,E/X,optional payload binding,Correct/wrong output+nonce tests
CQ-G07,"Does changing the window, sample count, method or output alter the bound digest?",E/R,canonical core digest and receipt,Aggregation mutation cases
CQ-I01,Which minimisation and tokenisation profile governed the object?,E,privacy_profile,Missing/unknown profile rejection
CQ-I02,"Are raw physiological values, sample arrays and direct identifiers absent under the executable profile?",E,closed schema plus recursive policy,Leakage negative-control suite
CQ-I03,Can the unsigned core be canonicalised to the same bytes after object-key reordering?,E,TE-JCS-1,RFC vector and reordered-key tests
CQ-I04,Are timestamps normalised consistently before canonicalisation?,E,timestamp profile,Equivalent-offset tests
CQ-I05,"Are duplicate keys, non-finite numbers and unsupported number forms rejected at admission?",E,I-JSON/TE-JCS-1 admission,Parser and number controls
CQ-I06,Which registered emitter key signed the core digest?,E/X,emitter_signature.key_id; key registry,Signature/unknown-key tests
CQ-I07,Does the receipt bind the computed core digest and log identity?,R,"core_digest, backend_id, log_id, signed receipt",Core/backend/log mutation tests
CQ-I08,At what leaf index and tree size was the evidence included?,R,"signed leaf_index, tree_size; matching proof fields",Index/size mutation tests
CQ-I09,Does the inclusion path reconstruct the signed root for exactly that index and size?,R,"inline proof, root and verifier algorithm",Missing/extra/reordered sibling tests
CQ-I10,Is the proof material itself covered by the receipt signature directly or through a digest?,R,inline proof and inclusion_proof_digest in signed projection,Proof-content substitution test
CQ-I11,Can a verifier with retained state detect a smaller checkpoint or a different same-size root?,R,previous verifier state and checkpoint comparison,Rollback/same-size-root tests
CQ-I12,Can a supplied consistency proof show that one retained checkpoint is a prefix of another under the local model?,R,old/new size/root and consistency path,Valid/non-prefix proof tests
CQ-F01,At which curation stage did an object fail?,E or result,failure_event.event_facts.failed_stage or CurationResult.failed_stage,Stage-specific negative controls
CQ-F02,Which stable machine-readable code explains the rejection?,E or result,failure_code / error_code,Exact-code assertions
CQ-F03,Was an evidence core or receipt created before failure?,E or result,"output_status, digest presence rules",Contradictory output-state rejection
CQ-F04,"Which method, schema, canonicalisation and receipt versions produced the result?",E/result,version/profile fields,Missing version rejection
CQ-F05,Can a clean extraction regenerate the deterministic reference objects and tables?,result/repository,"run manifest, hashes and exact commands",fresh-extraction audit
CQ-F06,Can reported figures be regenerated solely from retained CSV/JSON sources?,repository,figure provenance and scripts,figure-regeneration audit
